81.975 , 16:27:18 10/14/2021 
81.975 , 16:27:18 10/14/2021 
83.413 , 16:27:18 10/14/2021 
84.372 , 16:27:18 10/14/2021 
84.851 , 16:27:18 10/14/2021 
85.331 , 16:27:19 10/14/2021 
85.331 , 16:27:19 10/14/2021 
85.810 , 16:27:19 10/14/2021 
85.331 , 16:27:19 10/14/2021 
84.851 , 16:27:19 10/14/2021 
84.372 , 16:27:20 10/14/2021 
83.893 , 16:27:20 10/14/2021 
83.893 , 16:27:20 10/14/2021 
83.413 , 16:27:20 10/14/2021 
82.934 , 16:27:20 10/14/2021 
82.454 , 16:27:21 10/14/2021 
82.454 , 16:27:21 10/14/2021 
82.454 , 16:27:21 10/14/2021 
82.454 , 16:27:21 10/14/2021 
82.454 , 16:27:21 10/14/2021 
81.975 , 16:27:22 10/14/2021 
81.975 , 16:27:22 10/14/2021 
81.496 , 16:27:22 10/14/2021 
81.496 , 16:27:22 10/14/2021 
81.496 , 16:27:22 10/14/2021 
82.454 , 16:27:23 10/14/2021 
82.934 , 16:27:23 10/14/2021 
83.413 , 16:27:23 10/14/2021 
83.893 , 16:27:23 10/14/2021 
84.851 , 16:27:23 10/14/2021 
85.331 , 16:27:24 10/14/2021 
85.331 , 16:27:24 10/14/2021 
85.331 , 16:27:24 10/14/2021 
84.851 , 16:27:24 10/14/2021 
84.372 , 16:27:24 10/14/2021 
83.893 , 16:27:25 10/14/2021 
84.372 , 16:27:25 10/14/2021 
85.331 , 16:27:25 10/14/2021 
85.810 , 16:27:25 10/14/2021 
86.290 , 16:27:25 10/14/2021 
85.810 , 16:27:26 10/14/2021 
85.331 , 16:27:26 10/14/2021 
85.331 , 16:27:26 10/14/2021 
84.372 , 16:27:26 10/14/2021 
84.372 , 16:27:26 10/14/2021 
84.372 , 16:27:27 10/14/2021 
83.413 , 16:27:27 10/14/2021 
83.413 , 16:27:27 10/14/2021 
83.413 , 16:27:27 10/14/2021 
82.934 , 16:27:27 10/14/2021 
82.934 , 16:27:28 10/14/2021 
83.893 , 16:27:28 10/14/2021 
84.372 , 16:27:28 10/14/2021 
85.331 , 16:27:28 10/14/2021 
85.331 , 16:27:28 10/14/2021 
84.851 , 16:27:29 10/14/2021 
84.372 , 16:27:29 10/14/2021 
83.893 , 16:27:29 10/14/2021 
83.893 , 16:27:29 10/14/2021 
83.413 , 16:27:29 10/14/2021 
83.413 , 16:27:30 10/14/2021 
82.934 , 16:27:30 10/14/2021 
82.934 , 16:27:30 10/14/2021 
82.454 , 16:27:30 10/14/2021 
82.454 , 16:27:30 10/14/2021 
81.975 , 16:27:31 10/14/2021 
81.975 , 16:27:31 10/14/2021 
81.496 , 16:27:31 10/14/2021 
81.496 , 16:27:31 10/14/2021 
81.496 , 16:27:31 10/14/2021 
81.496 , 16:27:32 10/14/2021 
81.496 , 16:27:32 10/14/2021 
81.496 , 16:27:32 10/14/2021 
81.496 , 16:27:32 10/14/2021 
81.016 , 16:27:32 10/14/2021 
79.578 , 16:27:33 10/14/2021 
80.058 , 16:27:33 10/14/2021 
81.016 , 16:27:33 10/14/2021 
81.496 , 16:27:33 10/14/2021 
81.016 , 16:27:33 10/14/2021 
80.537 , 16:27:34 10/14/2021 
80.537 , 16:27:34 10/14/2021 
80.537 , 16:27:34 10/14/2021 
80.537 , 16:27:34 10/14/2021 
80.058 , 16:27:34 10/14/2021 
80.058 , 16:27:35 10/14/2021 
80.058 , 16:27:35 10/14/2021 
80.058 , 16:27:35 10/14/2021 
78.140 , 16:27:35 10/14/2021 
76.702 , 16:27:35 10/14/2021 
78.140 , 16:27:36 10/14/2021 
74.305 , 16:27:36 10/14/2021 
78.140 , 16:27:36 10/14/2021 
78.140 , 16:27:36 10/14/2021 
79.099 , 16:27:36 10/14/2021 
81.016 , 16:27:37 10/14/2021 
82.454 , 16:27:37 10/14/2021 
82.934 , 16:27:37 10/14/2021 
82.454 , 16:27:37 10/14/2021 
82.454 , 16:27:37 10/14/2021 
81.975 , 16:27:38 10/14/2021 
81.975 , 16:27:38 10/14/2021 
83.413 , 16:27:38 10/14/2021 
84.372 , 16:27:38 10/14/2021 
84.851 , 16:27:38 10/14/2021 
85.331 , 16:27:39 10/14/2021 
85.331 , 16:27:39 10/14/2021 
85.810 , 16:27:39 10/14/2021 
85.331 , 16:27:39 10/14/2021 
84.851 , 16:27:39 10/14/2021 
84.372 , 16:27:40 10/14/2021 
83.893 , 16:27:40 10/14/2021 
83.893 , 16:27:40 10/14/2021 
83.413 , 16:27:40 10/14/2021 
82.934 , 16:27:40 10/14/2021 
82.454 , 16:27:41 10/14/2021 
82.454 , 16:27:41 10/14/2021 
82.454 , 16:27:41 10/14/2021 
82.454 , 16:27:42 10/14/2021 
82.454 , 16:27:42 10/14/2021 
81.975 , 16:27:42 10/14/2021 
81.975 , 16:27:42 10/14/2021 
81.496 , 16:27:43 10/14/2021 
