78.140 	 16:41:26
76.702 	 16:41:26
78.140 	 16:41:26
74.305 	 16:41:26
78.140 	 16:41:26
78.140 	 16:41:26
79.099 	 16:41:26
81.016 	 16:41:26
82.454 	 16:41:26
82.934 	 16:41:26
82.454 	 16:41:27
82.454 	 16:41:27
81.975 	 16:41:27
81.975 	 16:41:27
83.413 	 16:41:27
84.372 	 16:41:27
84.851 	 16:41:27
85.331 	 16:41:27
85.331 	 16:41:27
85.810 	 16:41:27
85.331 	 16:41:28
84.851 	 16:41:28
84.372 	 16:41:28
83.893 	 16:41:28
83.893 	 16:41:28
83.413 	 16:41:28
82.934 	 16:41:28
82.454 	 16:41:28
82.454 	 16:41:28
82.454 	 16:41:28
82.454 	 16:41:29
82.454 	 16:41:29
81.975 	 16:41:29
81.975 	 16:41:29
81.496 	 16:41:29
81.496 	 16:41:29
81.496 	 16:41:29
82.454 	 16:41:29
82.934 	 16:41:29
83.413 	 16:41:29
83.893 	 16:41:30
84.851 	 16:41:30
85.331 	 16:41:30
85.331 	 16:41:30
85.331 	 16:41:30
84.851 	 16:41:30
84.372 	 16:41:30
83.893 	 16:41:30
84.372 	 16:41:30
85.331 	 16:41:30
